series_id,time,value
WILLLRGCAP,2010-04-23,31567.90
WILLLRGCAP,2010-04-26,31435.30
WILLLRGCAP,2010-04-27,30703.69
WILLLRGCAP,2010-04-28,30900.52
WILLLRGCAP,2010-04-29,31303.91
WILLLRGCAP,2010-04-30,30790.73
WILLLRGCAP,2010-05-03,31193.37
WILLLRGCAP,2010-05-04,30441.98
WILLLRGCAP,2010-05-05,30242.41
WILLLRGCAP,2010-05-06,29266.05
WILLLRGCAP,2010-05-07,28805.45
WILLLRGCAP,2010-05-10,30075.92
WILLLRGCAP,2010-05-11,29984.12
WILLLRGCAP,2010-05-12,30420.03
WILLLRGCAP,2010-05-13,30062.79
WILLLRGCAP,2010-05-14,29492.79
WILLLRGCAP,2010-05-17,29527.77
WILLLRGCAP,2010-05-18,29112.60
WILLLRGCAP,2010-05-19,28960.95
WILLLRGCAP,2010-05-20,27829.30
WILLLRGCAP,2010-05-21,28248.42
WILLLRGCAP,2010-05-24,27890.96
WILLLRGCAP,2010-05-25,27900.57
WILLLRGCAP,2010-05-26,27759.44
WILLLRGCAP,2010-05-27,28694.20
WILLLRGCAP,2010-05-28,28346.46
WILLLRGCAP,2010-06-01,27852.54
WILLLRGCAP,2010-06-02,28577.28
WILLLRGCAP,2010-06-03,28704.00
WILLLRGCAP,2010-06-04,27713.46
WILLLRGCAP,2010-06-07,27333.20
WILLLRGCAP,2010-06-08,27624.75
WILLLRGCAP,2010-06-09,27473.88
WILLLRGCAP,2010-06-10,28280.45
WILLLRGCAP,2010-06-11,28427.55
WILLLRGCAP,2010-06-14,28387.09
WILLLRGCAP,2010-06-15,29050.78
WILLLRGCAP,2010-06-16,29029.22
WILLLRGCAP,2010-06-17,29066.17
WILLLRGCAP,2010-06-18,29097.39
WILLLRGCAP,2010-06-21,28981.95
WILLLRGCAP,2010-06-22,28515.37
WILLLRGCAP,2010-06-23,28429.46
WILLLRGCAP,2010-06-24,27953.41
WILLLRGCAP,2010-06-25,28042.08
WILLLRGCAP,2010-06-28,27987.56
WILLLRGCAP,2010-06-29,27115.56
WILLLRGCAP,2010-06-30,26852.02
WILLLRGCAP,2010-07-01,26758.62
WILLLRGCAP,2010-07-02,26634.39
WILLLRGCAP,2010-07-06,26767.39
WILLLRGCAP,2010-07-07,27623.69
WILLLRGCAP,2010-07-08,27883.70
WILLLRGCAP,2010-07-09,28086.07
WILLLRGCAP,2010-07-12,28096.35
WILLLRGCAP,2010-07-13,28534.59
WILLLRGCAP,2010-07-14,28531.90
WILLLRGCAP,2010-07-15,28561.56
WILLLRGCAP,2010-07-16,27744.31
WILLLRGCAP,2010-07-19,27909.90
WILLLRGCAP,2010-07-20,28237.85
WILLLRGCAP,2010-07-21,27878.42
WILLLRGCAP,2010-07-22,28508.68
WILLLRGCAP,2010-07-23,28752.53
WILLLRGCAP,2010-07-26,29080.68
WILLLRGCAP,2010-07-27,29038.95
WILLLRGCAP,2010-07-28,28836.62
WILLLRGCAP,2010-07-29,28718.25
WILLLRGCAP,2010-07-30,28728.70
WILLLRGCAP,2010-08-02,29360.91
WILLLRGCAP,2010-08-03,29220.50
WILLLRGCAP,2010-08-04,29413.79
WILLLRGCAP,2010-08-05,29374.89
WILLLRGCAP,2010-08-06,29275.82
WILLLRGCAP,2010-08-09,29436.76
WILLLRGCAP,2010-08-10,29245.14
WILLLRGCAP,2010-08-11,28435.27
WILLLRGCAP,2010-08-12,28293.92
WILLLRGCAP,2010-08-13,28180.72
WILLLRGCAP,2010-08-16,28190.23
WILLLRGCAP,2010-08-17,28547.72
WILLLRGCAP,2010-08-18,28596.93
WILLLRGCAP,2010-08-19,28118.29
WILLLRGCAP,2010-08-20,28019.14
WILLLRGCAP,2010-08-23,27903.67
WILLLRGCAP,2010-08-24,27498.00
WILLLRGCAP,2010-08-25,27599.07
WILLLRGCAP,2010-08-26,27385.15
WILLLRGCAP,2010-08-27,27852.26
WILLLRGCAP,2010-08-30,27450.96
WILLLRGCAP,2010-08-31,27466.69
WILLLRGCAP,2010-09-01,28278.60
WILLLRGCAP,2010-09-02,28541.42
WILLLRGCAP,2010-09-03,28917.09
WILLLRGCAP,2010-09-07,28584.46
WILLLRGCAP,2010-09-08,28771.42
WILLLRGCAP,2010-09-09,28905.71
WILLLRGCAP,2010-09-10,29041.86
WILLLRGCAP,2010-09-13,29385.11
WILLLRGCAP,2010-09-14,29365.36
WILLLRGCAP,2010-09-15,29471.29
WILLLRGCAP,2010-09-16,29467.79
WILLLRGCAP,2010-09-17,29488.29
WILLLRGCAP,2010-09-20,29935.00
WILLLRGCAP,2010-09-21,29853.57
WILLLRGCAP,2010-09-22,29716.83
WILLLRGCAP,2010-09-23,29476.33
WILLLRGCAP,2010-09-24,30100.14
WILLLRGCAP,2010-09-27,29940.68
WILLLRGCAP,2010-09-28,30090.73
WILLLRGCAP,2010-09-29,30020.97
WILLLRGCAP,2010-09-30,29935.86
WILLLRGCAP,2010-10-01,30068.38
WILLLRGCAP,2010-10-04,29831.74
WILLLRGCAP,2010-10-05,30443.85
WILLLRGCAP,2010-10-06,30429.36
WILLLRGCAP,2010-10-07,30381.80
WILLLRGCAP,2010-10-08,30573.01
WILLLRGCAP,2010-10-11,30580.46
WILLLRGCAP,2010-10-12,30701.34
WILLLRGCAP,2010-10-13,30920.37
WILLLRGCAP,2010-10-14,30804.75
WILLLRGCAP,2010-10-15,30868.20
WILLLRGCAP,2010-10-18,31083.68
WILLLRGCAP,2010-10-19,30586.38
WILLLRGCAP,2010-10-20,30919.26
WILLLRGCAP,2010-10-21,30969.62
WILLLRGCAP,2010-10-22,31047.75
WILLLRGCAP,2010-10-25,31117.93
WILLLRGCAP,2010-10-26,31128.03
WILLLRGCAP,2010-10-27,31058.22
WILLLRGCAP,2010-10-28,31094.83
WILLLRGCAP,2010-10-29,31094.85
WILLLRGCAP,2010-11-01,31130.41
WILLLRGCAP,2010-11-02,31375.27
WILLLRGCAP,2010-11-03,31492.45
WILLLRGCAP,2010-11-04,32101.04
WILLLRGCAP,2010-11-05,32225.39
WILLLRGCAP,2010-11-08,32170.00
WILLLRGCAP,2010-11-09,31918.29
WILLLRGCAP,2010-11-10,32073.68
WILLLRGCAP,2010-11-11,31947.14
WILLLRGCAP,2010-11-12,31561.59
WILLLRGCAP,2010-11-15,31527.74
WILLLRGCAP,2010-11-16,31019.86
WILLLRGCAP,2010-11-17,31040.27
WILLLRGCAP,2010-11-18,31515.43
WILLLRGCAP,2010-11-19,31605.50
WILLLRGCAP,2010-11-22,31571.33
WILLLRGCAP,2010-11-23,31124.56
WILLLRGCAP,2010-11-24,31596.70
WILLLRGCAP,2010-11-26,31375.14
WILLLRGCAP,2010-11-29,31338.27
WILLLRGCAP,2010-11-30,31149.33
WILLLRGCAP,2010-12-01,31815.83
WILLLRGCAP,2010-12-02,32211.83
WILLLRGCAP,2010-12-03,32306.87
WILLLRGCAP,2010-12-06,32271.84
