Date, Open, High, Low, Close
1/18/2019,1017.99,1017.99,1017.99,1017.99
1/17/2019,1008.99,1008.99,1008.99,1008.99
1/16/2019,1009.39,1009.39,1009.39,1009.39
1/15/2019,1005.11,1005.11,1005.11,1005.11
1/14/2019,992.71,992.71,992.71,992.71
1/11/2019,1001.11,1001.11,1001.11,1001.11
1/10/2019,998.67,998.67,998.67,998.67
1/9/2019,994.41,994.41,994.41,994.41
1/8/2019,975.51,975.51,975.51,975.51
1/7/2019,977.96,977.96,977.96,977.96
1/4/2019,964.97,964.97,964.97,964.97
1/3/2019,949.57,949.57,949.57,949.57
1/2/2019,955.78,955.78,955.78,955.78
1/1/2019,966.04,966.04,966.04,966.04
12/31/2018,965.78,965.78,965.78,965.78
12/28/2018,962.63,962.63,962.63,962.63
12/27/2018,952.33,952.33,952.33,952.33
12/26/2018,950.15,950.15,950.15,950.15
12/25/2018,950.27,950.27,950.27,950.27
12/24/2018,952.84,952.84,952.84,952.84
12/21/2018,957.33,957.33,957.33,957.33
12/20/2018,959.79,959.79,959.79,959.79
12/19/2018,967.65,967.65,967.65,967.65
12/18/2018,962.98,962.98,962.98,962.98
12/17/2018,967.82,967.82,967.82,967.82
12/14/2018,971.9,971.9,971.9,971.9
12/13/2018,985.52,985.52,985.52,985.52
12/12/2018,978.9,978.9,978.9,978.9
12/11/2018,964.8,964.8,964.8,964.8
12/10/2018,962.79,962.79,962.79,962.79
12/7/2018,981.37,981.37,981.37,981.37
12/6/2018,978.93,978.93,978.93,978.93
12/5/2018,1001.91,1001.91,1001.91,1001.91
12/4/2018,1014.25,1014.25,1014.25,1014.25
12/3/2018,1016.87,1016.87,1016.87,1016.87
11/30/2018,994.72,994.72,994.72,994.72
11/29/2018,998.05,998.05,998.05,998.05
11/28/2018,991.67,991.67,991.67,991.67
11/27/2018,980.16,980.16,980.16,980.16
11/26/2018,976.57,976.57,976.57,976.57
11/23/2018,969.17,969.17,969.17,969.17
11/22/2018,975.99,975.99,975.99,975.99
11/21/2018,975.04,975.04,975.04,975.04
11/20/2018,972.58,972.58,972.58,972.58
11/19/2018,988.31,988.31,988.31,988.31
11/16/2018,986.3,986.3,986.3,986.3
11/15/2018,980.85,980.85,980.85,980.85
11/14/2018,968.14,968.14,968.14,968.14
11/13/2018,966.02,966.02,966.02,966.02
11/12/2018,966.41,966.41,966.41,966.41
11/9/2018,976.17,976.17,976.17,976.17
11/8/2018,993.53,993.53,993.53,993.53
11/7/2018,997.92,997.92,997.92,997.92
11/6/2018,992.27,992.27,992.27,992.27
11/5/2018,992.38,992.38,992.38,992.38
11/2/2018,996.72,996.72,996.72,996.72
11/1/2018,971.44,971.44,971.44,971.44
10/31/2018,955.92,955.92,955.92,955.92
10/30/2018,936.3,936.3,936.3,936.3
10/29/2018,934.8,934.8,934.8,934.8
10/26/2018,939.55,939.55,939.55,939.55
10/25/2018,948.96,948.96,948.96,948.96
10/24/2018,953.05,953.05,953.05,953.05
10/23/2018,960.54,960.54,960.54,960.54
10/22/2018,982.86,982.86,982.86,982.86
10/19/2018,971.47,971.47,971.47,971.47
10/18/2018,970.9,970.9,970.9,970.9
10/17/2018,983.71,983.71,983.71,983.71
10/16/2018,984.66,984.66,984.66,984.66
10/15/2018,971.67,971.67,971.67,971.67
10/12/2018,980.09,980.09,980.09,980.09
10/11/2018,954.66,954.66,954.66,954.66
10/10/2018,985.67,985.67,985.67,985.67
10/9/2018,993.99,993.99,993.99,993.99
10/8/2018,995.5,995.5,995.5,995.5
10/5/2018,1000.76,1000.76,1000.76,1000.76
10/4/2018,1010.38,1010.38,1010.38,1010.38
10/3/2018,1035.03,1035.03,1035.03,1035.03
10/2/2018,1033.3,1033.3,1033.3,1033.3
10/1/2018,1046.4,1046.4,1046.4,1046.4
9/28/2018,1047.91,1047.91,1047.91,1047.91
9/27/2018,1051.3,1051.3,1051.3,1051.3
9/26/2018,1046.02,1046.02,1046.02,1046.02
9/25/2018,1041.78,1041.78,1041.78,1041.78
9/24/2018,1042.35,1042.35,1042.35,1042.35
9/21/2018,1051.43,1051.43,1051.43,1051.43
9/20/2018,1036.93,1036.93,1036.93,1036.93
9/19/2018,1031.07,1031.07,1031.07,1031.07
9/18/2018,1019.74,1019.74,1019.74,1019.74
9/17/2018,1016.43,1016.43,1016.43,1016.43
9/14/2018,1028.53,1028.53,1028.53,1028.53
9/13/2018,1017.64,1017.64,1017.64,1017.64
9/12/2018,1004.56,1004.56,1004.56,1004.56
9/11/2018,1003.33,1003.33,1003.33,1003.33
9/10/2018,1011.25,1011.25,1011.25,1011.25
9/7/2018,1022.98,1022.98,1022.98,1022.98
9/6/2018,1018.29,1018.29,1018.29,1018.29
9/5/2018,1021.72,1021.72,1021.72,1021.72
9/4/2018,1040.17,1040.17,1040.17,1040.17
9/3/2018,1047.13,1047.13,1047.13,1047.13
8/31/2018,1055.96,1055.96,1055.96,1055.96
8/30/2018,1057.84,1057.84,1057.84,1057.84
8/29/2018,1070.53,1070.53,1070.53,1070.53
8/28/2018,1070.62,1070.62,1070.62,1070.62
8/27/2018,1069.14,1069.14,1069.14,1069.14
8/24/2018,1050.19,1050.19,1050.19,1050.19
8/23/2018,1048.2,1048.2,1048.2,1048.2
8/22/2018,1050.61,1050.61,1050.61,1050.61
8/21/2018,1044.31,1044.31,1044.31,1044.31
8/20/2018,1033.65,1033.65,1033.65,1033.65
8/17/2018,1022.94,1022.94,1022.94,1022.94
8/16/2018,1021.57,1021.57,1021.57,1021.57
8/15/2018,1023.43,1023.43,1023.43,1023.43
8/14/2018,1042.56,1042.56,1042.56,1042.56
8/13/2018,1043.3,1043.3,1043.3,1043.3
8/10/2018,1062.37,1062.37,1062.37,1062.37
8/9/2018,1078.67,1078.67,1078.67,1078.67
8/8/2018,1079.73,1079.73,1079.73,1079.73
8/7/2018,1079.79,1079.79,1079.79,1079.79
8/6/2018,1071,1071,1071,1071
8/3/2018,1073.33,1073.33,1073.33,1073.33
8/2/2018,1067.42,1067.42,1067.42,1067.42
8/1/2018,1086.87,1086.87,1086.87,1086.87
7/31/2018,1087.46,1087.46,1087.46,1087.46
7/30/2018,1090.14,1090.14,1090.14,1090.14
7/27/2018,1092.36,1092.36,1092.36,1092.36
7/26/2018,1089.17,1089.17,1089.17,1089.17
7/25/2018,1088.82,1088.82,1088.82,1088.82
7/24/2018,1080.38,1080.38,1080.38,1080.38
7/23/2018,1069.52,1069.52,1069.52,1069.52
7/20/2018,1070.07,1070.07,1070.07,1070.07
7/19/2018,1060.65,1060.65,1060.65,1060.65
7/18/2018,1068.75,1068.75,1068.75,1068.75
7/17/2018,1070.91,1070.91,1070.91,1070.91
7/16/2018,1070.24,1070.24,1070.24,1070.24
7/13/2018,1075.64,1075.64,1075.64,1075.64
7/12/2018,1070.24,1070.24,1070.24,1070.24
7/11/2018,1064.72,1064.72,1064.72,1064.72
7/10/2018,1076.19,1076.19,1076.19,1076.19
7/9/2018,1075.74,1075.74,1075.74,1075.74
7/6/2018,1059.97,1059.97,1059.97,1059.97
7/5/2018,1054.35,1054.35,1054.35,1054.35
7/4/2018,1056.07,1056.07,1056.07,1056.07
7/3/2018,1057.7,1057.7,1057.7,1057.7
7/2/2018,1059.32,1059.32,1059.32,1059.32
6/29/2018,1069.52,1069.52,1069.52,1069.52
6/28/2018,1046.71,1046.71,1046.71,1046.71
6/27/2018,1052.12,1052.12,1052.12,1052.12
6/26/2018,1067.75,1067.75,1067.75,1067.75
6/25/2018,1071.06,1071.06,1071.06,1071.06
6/22/2018,1088,1088,1088,1088
6/21/2018,1080.19,1080.19,1080.19,1080.19
6/20/2018,1093.26,1093.26,1093.26,1093.26
6/19/2018,1085.03,1085.03,1085.03,1085.03
6/18/2018,1105.98,1105.98,1105.98,1105.98
6/15/2018,1113.76,1113.76,1113.76,1113.76
6/14/2018,1125.71,1125.71,1125.71,1125.71
6/13/2018,1135.68,1135.68,1135.68,1135.68
6/12/2018,1140.64,1140.64,1140.64,1140.64
6/11/2018,1139.46,1139.46,1139.46,1139.46
6/8/2018,1135.39,1135.39,1135.39,1135.39
6/7/2018,1149.68,1149.68,1149.68,1149.68
6/6/2018,1150.17,1150.17,1150.17,1150.17
6/5/2018,1144.44,1144.44,1144.44,1144.44
6/4/2018,1146.74,1146.74,1146.74,1146.74
6/1/2018,1130.22,1130.22,1130.22,1130.22
5/31/2018,1120.71,1120.71,1120.71,1120.71
5/30/2018,1112.75,1112.75,1112.75,1112.75
5/29/2018,1126.25,1126.25,1126.25,1126.25
5/28/2018,1137,1137,1137,1137
5/25/2018,1136.62,1136.62,1136.62,1136.62
5/24/2018,1135.06,1135.06,1135.06,1135.06
5/23/2018,1133.1,1133.1,1133.1,1133.1
5/22/2018,1142.05,1142.05,1142.05,1142.05
5/21/2018,1136.49,1136.49,1136.49,1136.49
